side,row,col,key,default
left,0,0,L00,Q
left,0,1,L01,W
left,0,2,L02,E
left,0,3,L03,R
left,0,4,L04,T
left,1,0,L10,A
left,1,1,L11,S
left,1,2,L12,D
left,1,3,L13,F
left,1,4,L14,G
left,2,0,L20,Z
left,2,1,L21,X
left,2,2,L22,C
left,2,3,L23,V
left,2,4,L24,B
left,3,3,L33,LOWER
left,3,4,L34,SPACE
right,0,0,R00,Y
right,0,1,R01,U
right,0,2,R02,I
right,0,3,R03,O
right,0,4,R04,P
right,1,0,R10,H
right,1,1,R11,J
right,1,2,R12,K
right,1,3,R13,L
right,1,4,R14,ENTER
right,2,0,R20,N
right,2,1,R21,M
right,2,2,R22,COMMA
right,2,3,R23,DOT
right,2,4,R24,SLASH
right,3,0,R30,BACKSPACE
right,3,1,R31,RAISE
